                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3751,                0.94101,                 1.2125,                0.85227,                0.72119,                0.77814,                 0.4045,                 1.6354,                 1.2132,                 1.3501,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.3265,                0.91017,                 1.1923,                0.84157,                0.64062,                0.69946,                0.35772,                 1.6036,                 1.3005,                 1.3976,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.2963,                0.93396,                 1.1786,                0.67732,                0.72159,                0.76862,                 0.4083,                 1.5675,                 1.0906,                 1.3919,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.2944,                0.87042,                 1.1491,                0.75528,                0.60938,                0.72071,                0.37029,                 1.6645,                 1.1863,                 1.4276,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.3488,                0.90893,                 1.1876,                0.63136,                0.70312,                0.73696,                 0.3416,                 1.7986,                 1.3187,                 1.5464,              0.0016436,              0.0016436,              0.0016436
                     39,                  1.329,                0.87046,                 1.2221,                0.68595,                 0.6875,                   0.74,                0.39615,                 1.6768,                  1.232,                 1.4838,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.2872,                0.87002,                 1.1658,                0.63326,                0.71875,                 0.7297,                0.37769,                 1.6747,                 1.1867,                 1.4334,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.2704,                0.85587,                 1.1667,                0.73739,                 0.6875,                0.76052,                0.42066,                 1.6495,                 1.1028,                 1.3878,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.3881,                0.88766,                 1.2271,                0.73506,                0.76562,                0.76771,                0.39061,                 1.6675,                 1.1369,                  1.388,               0.001604,               0.001604,               0.001604
                     43,                 1.3004,                0.86484,                 1.1647,                 0.8119,                   0.75,                0.82275,                0.42641,                 1.5556,                 1.0861,                 1.3787,              0.0015941,              0.0015941,              0.0015941
