                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.66783,                0.43466,                0.91913,                0.87497,                0.76562,                0.82076,                0.45464,                 1.6039,                 0.9909,                 1.4773,              0.0005744,              0.0005744,              0.0005744
                    147,                0.68578,                0.42858,                0.90017,                0.87154,                0.76562,                 0.8142,                0.44194,                  1.596,                 1.0029,                  1.462,              0.0005645,              0.0005645,              0.0005645
                    148,                0.68965,                0.45095,                0.92866,                0.86082,                0.78125,                0.80868,                0.44554,                 1.5935,                0.97836,                 1.4668,              0.0005546,              0.0005546,              0.0005546
                    149,                 0.6531,                0.42896,                0.88651,                0.80587,                0.84324,                0.82102,                0.43051,                 1.5728,                0.96064,                 1.4543,              0.0005447,              0.0005447,              0.0005447
                    150,                0.65493,                0.43964,                0.90594,                 0.8089,                0.79688,                0.80173,                0.44044,                 1.5782,                0.97155,                 1.4655,              0.0005348,              0.0005348,              0.0005348
                    151,                0.68221,                0.44157,                0.90955,                0.87864,                0.79195,                0.82091,                0.45233,                 1.5747,                0.96004,                 1.4597,              0.0005249,              0.0005249,              0.0005249
                    152,                0.69246,                0.43424,                0.93332,                0.86412,                0.79496,                0.81651,                0.42894,                 1.5692,                  0.962,                 1.4226,               0.000515,               0.000515,               0.000515
                    153,                0.65671,                0.41462,                0.88912,                0.87613,                0.76562,                0.79547,                 0.4244,                 1.6087,                0.98279,                 1.4416,              0.0005051,              0.0005051,              0.0005051
                    154,                0.72099,                0.45871,                0.92316,                0.87047,                   0.75,                0.81117,                0.42946,                 1.6197,                0.97608,                 1.4636,              0.0004952,              0.0004952,              0.0004952
                    155,                0.68377,                0.43607,                0.90087,                0.88717,                0.76562,                 0.8386,                0.42638,                 1.5804,                0.92712,                 1.4562,              0.0004853,              0.0004853,              0.0004853
                    156,                0.64325,                0.41092,                 0.8989,                0.86299,                   0.75,                 0.8041,                0.42239,                 1.5912,                0.92746,                 1.4673,              0.0004754,              0.0004754,              0.0004754
                    157,                0.69484,                0.43525,                0.91575,                0.82448,                0.82812,                0.82758,                0.43402,                 1.5506,                0.93378,                 1.4601,              0.0004655,              0.0004655,              0.0004655
                    158,                0.62924,                0.40569,                0.88564,                0.85413,                0.82348,                0.83728,                0.44086,                 1.5468,                 0.9683,                 1.4493,              0.0004556,              0.0004556,              0.0004556
                    159,                0.64537,                0.41516,                0.91196,                0.85435,                0.82491,                0.83748,                0.44148,                 1.5464,                 0.9802,                 1.4382,              0.0004457,              0.0004457,              0.0004457
                    160,                0.63654,                0.39886,                0.89116,                0.85657,                0.83987,                  0.835,                0.43336,                 1.6019,                 0.9845,                 1.4755,              0.0004358,              0.0004358,              0.0004358
                    161,                0.62684,                0.41556,                0.89144,                0.86856,                0.82602,                0.83329,                0.42346,                 1.6194,                0.98979,                 1.4977,              0.0004259,              0.0004259,              0.0004259
                    162,                0.61741,                0.41354,                0.90331,                0.86877,                0.82751,                  0.832,                0.42893,                 1.5833,                0.95558,                 1.4686,               0.000416,               0.000416,               0.000416
                    163,                0.65943,                0.42396,                0.88504,                0.87813,                 0.8125,                0.83704,                0.43993,                 1.5811,                0.93168,                 1.4662,              0.0004061,              0.0004061,              0.0004061
                    164,                0.64607,                0.41763,                0.89798,                0.87883,                 0.8125,                0.84664,                0.45639,                 1.5689,                0.87597,                  1.472,              0.0003962,              0.0003962,              0.0003962
                    165,                0.66654,                0.42235,                 0.8979,                0.87933,                 0.8125,                0.84034,                0.46242,                 1.5296,                0.83599,                 1.4373,              0.0003863,              0.0003863,              0.0003863
                    166,                  0.671,                0.42775,                0.88898,                0.81684,                  0.875,                0.84529,                0.45877,                 1.5269,                0.86964,                 1.4306,              0.0003764,              0.0003764,              0.0003764
                    167,                0.64373,                0.41884,                0.88538,                0.85452,                0.82605,                0.84646,                0.47026,                  1.522,                 0.8783,                 1.4348,              0.0003665,              0.0003665,              0.0003665
                    168,                0.62882,                0.40536,                0.88411,                0.86568,                0.80567,                0.83438,                0.45257,                 1.5327,                0.91419,                 1.4381,              0.0003566,              0.0003566,              0.0003566
                    169,                0.66896,                0.41584,                0.89842,                0.87203,                0.78125,                0.80712,                0.43923,                 1.5692,                0.92234,                  1.463,              0.0003467,              0.0003467,              0.0003467
                    170,                 0.6303,                 0.4101,                0.89046,                0.85189,                0.80888,                0.81288,                0.43414,                 1.6263,                0.96812,                 1.4905,              0.0003368,              0.0003368,              0.0003368
                    171,                0.61988,                0.40199,                0.88869,                0.86592,                0.80733,                0.80834,                0.43465,                 1.6014,                0.93517,                 1.4823,              0.0003269,              0.0003269,              0.0003269
                    172,                0.58931,                0.38375,                0.90352,                0.85443,                0.82545,                0.81645,                0.44679,                 1.5518,                 0.9147,                 1.4639,               0.000317,               0.000317,               0.000317
                    173,                0.62731,                  0.401,                0.88994,                0.85419,                0.82386,                0.82264,                0.44662,                 1.5603,                0.91886,                   1.48,              0.0003071,              0.0003071,              0.0003071
                    174,                0.59095,                 0.4032,                 0.8742,                0.86525,                 0.8125,                0.83325,                0.44695,                 1.5936,                0.93854,                 1.4898,              0.0002972,              0.0002972,              0.0002972
                    175,                0.55502,                0.38143,                0.87237,                0.88129,                0.81203,                 0.8489,                0.43631,                 1.6243,                0.94372,                  1.515,              0.0002873,              0.0002873,              0.0002873
                    176,                0.63541,                0.41476,                0.89447,                0.87853,                 0.8125,                 0.8364,                0.42414,                 1.6333,                0.95737,                  1.537,              0.0002774,              0.0002774,              0.0002774
                    177,                0.59671,                0.39197,                0.88505,                 0.8574,                 0.8125,                0.83512,                0.41534,                 1.6077,                0.99301,                 1.5191,              0.0002675,              0.0002675,              0.0002675
                    178,                0.64164,                 0.4221,                0.87506,                0.87006,                0.84375,                0.84709,                0.42372,                 1.5903,                0.96159,                 1.4962,              0.0002576,              0.0002576,              0.0002576
                    179,                 0.5978,                0.38708,                0.87916,                0.85425,                0.82427,                0.83319,                0.43573,                 1.5713,                0.93302,                 1.4798,              0.0002477,              0.0002477,              0.0002477
                    180,                0.58948,                0.38355,                0.87447,                0.88126,                0.79688,                 0.8423,                0.44499,                 1.5595,                0.94593,                 1.4742,              0.0002378,              0.0002378,              0.0002378
                    181,                0.60265,                0.40365,                0.87089,                0.88097,                0.79688,                0.84388,                0.43172,                 1.5992,                0.95762,                 1.4893,              0.0002279,              0.0002279,              0.0002279
                    182,                0.59619,                0.39237,                 0.8831,                0.87747,                0.79688,                0.83437,                0.42696,                 1.6181,                0.97345,                 1.4915,               0.000218,               0.000218,               0.000218
                    183,                0.55864,                 0.3832,                0.87141,                0.85242,                 0.8125,                0.83256,                0.43447,                  1.592,                0.96925,                 1.4757,              0.0002081,              0.0002081,              0.0002081
                    184,                0.56241,                 0.3742,                0.85821,                0.84062,                0.82414,                0.83225,                0.44118,                 1.5858,                 0.9529,                 1.4742,              0.0001982,              0.0001982,              0.0001982
                    185,                0.61526,                0.38853,                0.88748,                 0.8298,                0.83802,                0.83393,                0.44071,                 1.5951,                0.93571,                 1.4813,              0.0001883,              0.0001883,              0.0001883
                    186,                0.59732,                0.39954,                0.87786,                0.87457,                0.79688,                0.83367,                0.45172,                 1.6089,                0.95058,                 1.4995,              0.0001784,              0.0001784,              0.0001784
                    187,                0.57197,                 0.3844,                0.88325,                0.89456,                 0.8125,                0.84413,                0.43723,                 1.6014,                0.94261,                 1.4931,              0.0001685,              0.0001685,              0.0001685
                    188,                0.58487,                0.38761,                0.88149,                 0.8771,                0.79688,                0.82773,                 0.4485,                 1.5934,                 0.8946,                 1.4939,              0.0001586,              0.0001586,              0.0001586
                    189,                0.55767,                0.37556,                0.86626,                0.85467,                0.82703,                0.83594,                0.44907,                 1.5924,                0.89045,                 1.4893,              0.0001487,              0.0001487,              0.0001487
                    190,                0.56247,                0.36162,                0.88496,                0.84504,                0.85211,                0.83787,                 0.4397,                 1.5894,                0.90304,                 1.4828,              0.0001388,              0.0001388,              0.0001388
                    191,                0.57199,                 0.3684,                0.85173,                0.85472,                0.82732,                0.82003,                0.43658,                  1.597,                0.90093,                 1.4892,              0.0001289,              0.0001289,              0.0001289
                    192,                0.59946,                0.37204,                0.83894,                0.86878,                0.82763,                0.82795,                0.42125,                 1.6164,                0.98329,                 1.5126,               0.000119,               0.000119,               0.000119
                    193,                0.55807,                0.36087,                0.85663,                0.88022,                0.79688,                0.82661,                0.41504,                  1.631,                0.97382,                 1.5227,              0.0001091,              0.0001091,              0.0001091
                    194,                0.52958,                0.35894,                0.85283,                0.82873,                0.84375,                0.82235,                0.42075,                 1.6329,                0.98327,                 1.5269,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.54757,                 0.3531,                0.84174,                0.83012,                0.83994,                0.82564,                0.41159,                 1.6191,                0.98552,                 1.5192,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.51808,                0.33496,                 0.8389,                0.83844,                0.81092,                0.82183,                0.41118,                 1.6093,                0.98643,                 1.5119,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.50483,                0.34068,                0.85403,                0.82966,                 0.8372,                0.82492,                0.41966,                 1.6021,                0.97628,                 1.5057,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                 0.4889,                0.34479,                0.83441,                0.82956,                0.83663,                0.82311,                0.42181,                 1.6081,                0.96893,                 1.5002,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.51954,                0.35173,                  0.867,                0.82965,                0.83711,                 0.8279,                0.42752,                 1.6182,                0.97109,                 1.4982,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.50413,                0.33062,                0.84868,                 0.8187,                0.82812,                0.82767,                0.42794,                 1.6226,                0.97496,                 1.5064,               3.98e-05,               3.98e-05,               3.98e-05
